Ano de Publicação,Título,Autor,Idioma,Nível do Autor,Avaliação Média,Contagem de Avaliações,Gênero,Vendas Brutas,Receita do Editor,Preço de Venda,Ranking de Vendas,Editora,Unidades Vendidas,Categoria de Avaliação
1984,Thinner,"Richard Bachman, Stephen King",Inglês,Intermediário,3.66,130219,Ficção Científica,1659.45,0.0,2.99,189,Amazon,555,Baixa
1872,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",Inglês,Intermediário,3.9,117108,Ficção Científica,4434.45,2660.67,7.99,189,Penguin,555,Baixa
1994,Walk Two Moons,Sharon Creech,Inglês,Intermediário,3.95,129350,Outro,544.5,326.7,0.99,190,Amazon,550,Média
2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",Inglês,Intermediário,3.69,102206,Ficção Científica,534.6,0.0,0.99,192,Amazon,540,Baixa
1953,Nine Stories,J.D. Salinger,Inglês,Intermediário,4.19,105138,Ficção Científica,2154.6,0.0,3.99,192,Amazon,540,Alta
2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,Inglês,Intermediário,3.67,121373,Outro,1599.65,959.79,2.99,193,Random,535,Baixa
2007,Unwind,Neal Shusterman,Inglês,Intermediário,4.18,143892,Ficção Científica,524.7,314.82,0.99,194,Macmillan,530,Alta
1996,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,Inglês,Intermediário,4.34,123736,Outro,1024.85,614.91,1.99,197,Amazon,515,Alta
2013,Prodigy,Marie Lu,Inglês,Intermediário,4.29,149702,Ficção Científica,1524.9,0.0,2.99,198,Amazon,510,Alta
1603,The Tragedie of King Lear,William Shakespeare,Inglês,Intermediário,3.89,135448,Ficção Científica,2014.95,1208.97,3.99,199,Amazon,505,Baixa
1949,Death of a Salesman,Arthur Miller,Inglês,Iniciante,3.49,132061,Ficção Científica,5433.18,3259.908,10.91,201,Penguin,498,Baixa
2007,The Choice,Nicholas Sparks,Inglês,Intermediário,3.99,93479,Ficção Científica,1483.04,0.0,2.99,202,Amazon,496,Média
1929,The Sound and the Fury,William Faulkner,Inglês,Intermediário,3.86,124665,Ficção Científica,2445.1,1467.06,4.99,206,Hachette,490,Baixa
2005,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,Inglês,Intermediário,4.02,106211,Ficção Científica,483.12,289.872,0.99,207,Amazon,488,Média
2002,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,Inglês,Intermediário,4.21,120004,Ficção Científica,2605.92,1563.552,5.34,207,Penguin,488,Alta
1992,The Shadow Rising ,Robert Jordan,Inglês,Intermediário,4.21,122524,Outro,2057.58,1234.548,4.26,210,HarperCollins,483,Alta
2003,Shantaram,Gregory David Roberts,Inglês,Intermediário,4.26,95213,Ficção Científica,476.19,0.0,0.99,211,Amazon,481,Alta
2008,From Dead to Worse,Charlaine Harris,Inglês,Intermediário,4.01,151095,Ficção Científica,475.2,285.12,0.99,212,Amazon,480,Média
1991,The Waste Lands,"Stephen King, Ned Dameron",Inglês,Intermediário,4.24,117483,Ficção Científica,1429.22,0.0,2.99,213,Amazon,478,Alta
1997,The Bone Collector,Jeffery Deaver,Inglês,Intermediário,4.18,120541,Ficção Científica,5253.22,3151.932,10.99,213,Random,478,Alta
1995,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",Inglês,Intermediário,3.73,119911,Ficção Científica,1423.24,0.0,2.99,214,Amazon,476,Baixa
1967,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",Inglês,Intermediário,4.19,125668,Ficção Científica,2375.24,1425.144,4.99,214,Hachette,476,Alta
1989,Hyperion,Dan Simmons,Inglês,Intermediário,4.21,122225,Ficção Científica,470.25,0.0,0.99,215,Amazon,475,Alta
1947,The Pearl of the World,John Steinbeck,Inglês,Iniciante,3.41,133264,Ficção Científica,470.25,282.15,0.99,215,Amazon,475,Baixa
1971,The Exorcist,William Peter Blatty,Inglês,Intermediário,4.14,124467,Ficção Científica,1399.32,0.0,2.99,219,Amazon,468,Alta
2009,The Short Second Life of Bree Tanner,Stephenie Meyer,Inglês,Intermediário,3.51,145874,Ficção Científica,461.34,0.0,0.99,220,Amazon,466,Baixa
1994,Snow Falling on Cedars,David Guterson,Inglês,Intermediário,3.8,131945,Ficção Científica,1393.34,0.0,2.99,220,Amazon,466,Baixa
1976,Roots,Alex Haley,Inglês,Famoso,4.42,118951,Ficção Científica,460.35,276.21,0.99,221,Macmillan,465,Alta
1988,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",Inglês,Intermediário,4.36,113855,Ficção Científica,455.4,273.24,0.99,224,Random,460,Alta
1952,Invisible Man,Ralph Ellison,Inglês,Intermediário,3.84,123073,Ficção Científica,455.4,0.0,0.99,224,Amazon,460,Baixa
2007,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,Inglês,Intermediário,4.14,116260,Ficção Científica,3643.44,0.0,7.99,226,Amazon,456,Alta
1971,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,Outro,Intermediário,4.13,135978,Ficção Científica,1815.45,1089.27,3.99,227,Amazon,455,Alta
1982,Different Seasons,Stephen King,Inglês,Intermediário,4.34,105961,Ficção Científica,5000.45,3000.27,10.99,227,Simon,455,Alta
1953,The Little House Collection,"Laura Ingalls Wilder, Garth Williams",Outro,Intermediário,4.33,124320,Ficção Científica,5195.91,3117.546,11.47,228,Random,453,Alta
1998,The Girls' Guide to Hunting and Fishing,Melissa Bank,Outro,Iniciante,3.29,113977,Outro,448.47,0.0,0.99,228,Amazon,453,Baixa
2012,Wool Omnibus,Hugh Howey,Inglês,Intermediário,4.24,81982,Ficção Científica,2250.49,1350.294,4.99,229,Penguin,451,Alta
2002,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Inglês,Intermediário,4.26,118576,Ficção Científica,4792.5,2875.5,10.65,230,Random,450,Alta
1997,The Power of Now,Eckhart Tolle,Inglês,Intermediário,4.1,104549,Ficção Científica,4771.2,2862.72,10.65,231,Penguin,448,Média
2012,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,Inglês,Intermediário,3.9,118475,Ficção Científica,443.52,266.112,0.99,231,Amazon,448,Baixa
2006,The Lies of Locke Lamora,Scott Lynch,Inglês,Intermediário,4.3,118751,Ficção Científica,1324.57,794.742,2.99,234,Simon,443,Alta
1995,Sabriel,Garth Nix,Inglês,Intermediário,4.17,137047,Ficção Científica,8811.18,5286.708,19.98,235,Random,441,Alta
2009,Dead and Gone,Charlaine Harris,Inglês,Intermediário,4.01,145157,Ficção Científica,2175.64,1305.384,4.99,238,Random,436,Média
2013,The Storyteller,Jodi Picoult,Inglês,Intermediário,4.26,109313,Ficção Científica,430.65,0.0,0.99,239,Amazon,435,Alta
2011,Obsidian,Jennifer L. Armentrout,Inglês,Intermediário,4.23,164832,Ficção Científica,5191.67,3115.002,11.99,240,Penguin,433,Alta
1982,"Life, the Universe and Everything",Douglas Adams,Inglês,Intermediário,4.19,131562,Ficção Científica,2593.67,1556.202,5.99,240,Hachette,433,Alta
2013,Crown of Midnight,Sarah J. Maas,Inglês,Famoso,4.49,160485,Ficção Científica,426.69,256.014,0.99,241,Amazon,431,Alta
2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,Inglês,Intermediário,4.18,126864,Ficção Científica,425.7,255.42,0.99,242,Random,430,Alta
2008,Half Broke Horses: A True Life Novel,Jeannette Walls,Inglês,Intermediário,4.05,110597,Ficção Científica,5107.74,3064.644,11.99,244,Penguin,426,Média
1987,Mort,Terry Pratchett,Inglês,Intermediário,4.22,128450,Ficção Científica,3821.22,2292.732,8.97,244,Amazon,426,Alta
2010,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,Inglês,Intermediário,3.92,158063,Ficção Científica,420.75,252.45,0.99,245,Macmillan,425,Média
1985,Lonesome Dove,Larry McMurtry,Inglês,Famoso,4.47,111498,Ficção Científica,1687.77,0.0,3.99,246,Amazon,423,Alta
2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,Inglês,Intermediário,4.05,122502,Outro,4473.0,2683.8,10.65,248,Random,420,Média
2011,Bloodlines,Richelle Mead,Inglês,Intermediário,4.22,140599,Ficção Científica,413.82,248.292,0.99,249,Macmillan,418,Alta
1998,Ender's Shadow,Orson Scott Card,Inglês,Intermediário,4.3,115521,Outro,411.84,0.0,0.99,250,Amazon,416,Alta
2009,Twenties Girl,Sophie Kinsella,Inglês,Intermediário,3.82,119105,Ficção Científica,2070.85,1242.51,4.99,251,Random,415,Baixa
1982,Schindler's Ark,Thomas Keneally,Inglês,Intermediário,4.34,108338,Ficção Científica,2537.9,1522.74,6.19,254,Amazon,410,Alta
1970,The Bluest Eye,Toni Morrison,Inglês,Intermediário,3.99,109944,Ficção Científica,1219.92,0.0,2.99,255,Amazon,408,Média
2009,The White Queen,Philippa Gregory,Inglês,Intermediário,3.9,119739,Ficção Científica,1685.04,1011.024,4.13,255,Amazon,408,Baixa
1965,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",Inglês,Intermediário,4.29,124805,Outro,2025.94,1215.564,4.99,256,Random,406,Alta
1989,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Inglês,Intermediário,4.3,122540,Outro,2251.8,1351.08,5.56,257,Amazon,405,Alta
1999,Seabiscuit,Laura Hillenbrand,Inglês,Intermediário,4.2,111497,Ficção Científica,1007.5,604.5,2.5,258,HarperCollins,403,Alta
2003,Shutter Island,Dennis Lehane,Inglês,Intermediário,4.07,113718,Ficção Científica,4270.65,2562.39,10.65,259,Penguin,401,Média
1894,The Complete Sherlock Holmes,Arthur Conan Doyle,Inglês,Famoso,4.5,109754,Ficção Científica,3180.02,1908.012,7.99,261,Penguin,398,Alta
1599,The Tragedy of Julius Caesar,"William Shakespeare, Roma Gill",Inglês,Intermediário,3.65,119933,Ficção Científica,392.04,235.224,0.99,262,Amazon,396,Baixa
2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,Inglês,Intermediário,3.81,110481,Ficção Científica,392.04,235.224,0.99,262,Amazon,396,Baixa
1593,The Taming of the Shrew,William Shakespeare,Inglês,Intermediário,3.81,126318,Outro,2726.1,1635.66,6.99,266,Hachette,390,Baixa
2014,Cress,Marissa Meyer,Inglês,Famoso,4.46,162069,Outro,1154.14,692.484,2.99,268,Macmillan,386,Alta
2010,Just Kids,Patti Smith,Inglês,Intermediário,4.14,106542,Ficção Científica,766.15,459.69,1.99,269,Random,385,Alta
2001,Jemima J,Jane Green,Inglês,Intermediário,3.62,101436,Ficção Científica,758.19,0.0,1.99,271,Amazon,381,Baixa
1831,Notre-Dame de Paris,"Victor Hugo, Walter J. Cobb",Inglês,Intermediário,3.97,119851,Outro,3013.71,1808.226,7.91,271,Amazon,381,Média
1996,A Fine Balance,Rohinton Mistry,Inglês,Intermediário,4.34,99252,Ficção Científica,1136.2,681.72,2.99,272,Simon,380,Alta
1987,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",Inglês,Famoso,4.61,117788,Outro,1886.22,1131.732,4.99,273,Penguin,378,Alta
2006,Specials,Scott Westerfeld,Inglês,Intermediário,3.77,139168,Ficção Científica,1124.24,674.544,2.99,274,Amazon,376,Baixa
1899,The Awakening,Kate Chopin,Inglês,Intermediário,3.63,125474,Ficção Científica,371.25,0.0,0.99,275,Amazon,375,Baixa
2009,Hunted,"P.C. Cast, Kristin Cast",Inglês,Intermediário,3.93,138103,Ficção Científica,1871.25,1122.75,4.99,275,Random,375,Média
2006,For One More Day,Mitch Albom,Inglês,Intermediário,4.09,102193,Ficção Científica,1488.27,0.0,3.99,276,Amazon,373,Média
1989,Clear and Present Danger,Tom Clancy,Inglês,Intermediário,4.08,105317,Ficção Científica,1115.27,669.162,2.99,276,Hachette,373,Média
1996,Falling Up,Shel Silverstein,Inglês,Intermediário,4.33,111779,Ficção Científica,366.3,0.0,0.99,278,Amazon,370,Alta
2010,Sh*t My Dad Says,Justin Halpern,Outro,Intermediário,3.98,102560,Outro,2775.0,1665.0,7.5,278,Hachette,370,Média
1993,Trainspotting,"Irvine Welsh, Eric Lindor Fall",Francês,Intermediário,4.07,59453,Ficção Científica,1100.32,660.192,2.99,279,Random,368,Média
1952,Foundation and Empire,Isaac Asimov,Inglês,Intermediário,4.2,105595,Ficção Científica,1094.34,0.0,2.99,280,Amazon,366,Alta
1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",Miguel Ruiz,Outro,Intermediário,4.12,97016,Ficção Científica,4388.34,2633.004,11.99,280,Penguin,366,Média
2010,House Rules,Jodi Picoult,Inglês,Intermediário,4.01,111239,Outro,4084.35,2450.61,11.19,281,HarperCollins,365,Média
1812,BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",Inglês,Intermediário,4.31,116324,Ficção Científica,1811.37,0.0,4.99,282,Amazon,363,Alta
1967,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Inglês,Intermediário,4.15,134537,Ficção Científica,1085.37,651.222,2.99,282,Amazon,363,Alta
2013,Doctor Sleep,Stephen King,Inglês,Intermediário,4.1,95276,Ficção Científica,357.39,214.434,0.99,283,Amazon,361,Média
1998,About a Boy,Nick Hornby,Inglês,Intermediário,3.79,101999,Ficção Científica,1079.39,647.634,2.99,283,Penguin,361,Baixa
2012,On Dublin Street,Samantha Young,Inglês,Intermediário,4.24,136761,Outro,3905.78,2343.468,10.91,285,Random,358,Alta
2008,Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",Inglês,Intermediário,4.15,106351,Ficção Científica,1064.44,638.664,2.99,286,Macmillan,356,Alta
1960,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Outro,Intermediário,4.12,117582,Outro,706.45,423.87,1.99,287,Simon,355,Média
1987,Watchers,Dean Koontz,Outro,Intermediário,4.16,109595,Ficção Científica,1049.49,0.0,2.99,289,Amazon,351,Alta
1902,The Story of My Life,Helen Keller,Inglês,Intermediário,4.07,107313,Outro,347.49,208.494,0.99,289,Amazon,351,Média
2009,This Is Where I Leave You,Jonathan Tropper,Inglês,Intermediário,3.88,98645,Ficção Científica,346.5,0.0,0.99,290,Amazon,350,Baixa
2010,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,Inglês,Intermediário,3.7,106336,Ficção Científica,344.52,0.0,0.99,291,Amazon,348,Baixa
1999,ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,"Natsuki Takaya, Alethea Nibley, Athena Nibley",Inglês,Intermediário,4.23,118467,Outro,1031.55,618.93,2.99,293,Simon,345,Alta
1623,The Tempest,William Shakespeare,Inglês,Intermediário,3.8,125178,Ficção Científica,1025.57,0.0,2.99,294,Amazon,343,Baixa
2010,Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",Inglês,Intermediário,3.98,120763,Ficção Científica,1019.59,0.0,2.99,295,Amazon,341,Média
1997,Wizard and Glass,"Stephen King, Dave McKean",Inglês,Intermediário,4.24,105026,Ficção Científica,1019.59,611.754,2.99,295,Simon,341,Alta
2013,The Circle,Dave Eggers,Inglês,Iniciante,3.46,109412,Ficção Científica,3872.6,2323.56,11.39,296,Penguin,340,Baixa
2007,The Invention of Hugo Cabret,Brian Selznick,Inglês,Intermediário,4.23,132159,Ficção Científica,1686.62,0.0,4.99,297,Amazon,338,Alta
1932,Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",Inglês,Intermediário,4.16,108124,Ficção Científica,1676.64,0.0,4.99,298,Amazon,336,Alta
2003,æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,Bisco Hatori,Inglês,Excelente,4.36,113881,Ficção Científica,666.65,399.99,1.99,299,HarperCollins,335,Alta
2014,The Good Girl,Mary Kubica,Inglês,Intermediário,3.81,100936,Ficção Científica,2620.72,1572.432,7.99,303,Random,328,Baixa
2012,"Fallen Too Far (Too Far, #1)",Abbi Glines,Inglês,Excelente,4.21,138871,Ficção Científica,2875.32,1725.192,8.82,304,Penguin,326,Alta
2014,Landline,Rainbow Rowell,Inglês,Intermediário,3.55,113805,Ficção Científica,1300.74,0.0,3.99,304,Amazon,326,Baixa
2008,Tempted,"P.C. Cast, Kristin Cast",Inglês,Intermediário,3.96,127387,Ficção Científica,2759.25,1655.55,8.49,305,HarperCollins,325,Média
2005,No Country for Old Men,Cormac McCarthy,Inglês,Excelente,4.12,100513,Ficção Científica,1611.77,967.062,4.99,306,Simon,323,Média
2009,Wolf Hall,Hilary Mantel,Inglês,Intermediário,3.85,102936,Ficção Científica,2468.49,1481.094,7.69,307,Penguin,321,Baixa
1986,Howl's Moving Castle,Diana Wynne Jones,Inglês,Excelente,4.3,123945,Ficção Científica,950.82,0.0,2.99,309,Amazon,318,Alta
2001,Dreamcatcher,"Stephen King, William Olivier Desmond",Francês,Intermediário,3.59,115855,Ficção Científica,1576.84,0.0,4.99,310,Amazon,316,Baixa
1854,Walden; or Life in the Woods,Henry David Thoreau,Inglês,Intermediário,3.79,108062,Outro,2044.35,1226.61,6.49,311,Random,315,Baixa
1989,The Remains of the Day,Kazuo Ishiguro,Inglês,Excelente,4.1,105892,Outro,1874.87,1124.922,5.99,312,Random,313,Média
2010,The Best of Me,Nicholas Sparks,Inglês,Intermediário,3.91,103915,Ficção Científica,307.89,184.734,0.99,313,Amazon,311,Baixa
2011,The Sense of an Ending,Julian Barnes,Inglês,Intermediário,3.7,94968,Ficção Científica,306.9,0.0,0.99,314,Amazon,310,Baixa
1982,A is for Alibi,Sue Grafton,Inglês,Intermediário,3.82,116026,Ficção Científica,616.9,370.14,1.99,314,Amazon,310,Baixa
2009,Shanghai Girls,Lisa See,Inglês,Intermediário,3.87,106729,Outro,2152.92,1291.752,6.99,315,Penguin,308,Baixa
1908,The Wind in the Willows,"Kenneth Grahame, Gillian Avery",Inglês,Intermediário,3.98,124612,Ficção Científica,10327.3,6196.38,33.86,317,Penguin,305,Média
2014,To All the Boys I've Loved Before,Jenny Han,Inglês,Excelente,4.11,136938,Outro,598.99,0.0,1.99,319,Amazon,301,Média
2000,Persepolis,"Marjane Satrapi, Mattias Ripa",Inglês,Excelente,4.23,117103,Ficção Científica,1487.02,892.212,4.99,321,Random,298,Alta
1908,A Room with a View,E.M. Forster,Inglês,Intermediário,3.91,109994,Ficção Científica,891.02,0.0,2.99,321,Amazon,298,Baixa
2010,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,Inglês,Intermediário,3.86,136736,Ficção Científica,1181.04,0.0,3.99,322,Amazon,296,Baixa
2008,Lock and Key,Sarah Dessen,Inglês,Excelente,4.01,120475,Outro,885.04,531.024,2.99,322,Amazon,296,Média
1995,Naked in Death,J.D. Robb,Inglês,Excelente,4.13,78028,Ficção Científica,1772.95,1063.77,6.01,323,HarperCollins,295,Alta
1994,The Chamber,John Grisham,Inglês,Intermediário,3.76,102715,Ficção Científica,292.05,0.0,0.99,323,Amazon,295,Baixa
2008,Midnight Sun (Partial Draft),Stephenie Meyer,Inglês,Excelente,4.03,138118,Ficção Científica,290.07,0.0,0.99,324,Amazon,293,Média
1999,NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,"Masashi Kishimoto, Katy Bridges",Inglês,Excelente,4.35,104633,Outro,288.09,172.854,0.99,325,HarperCollins,291,Alta
2012,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,Inglês,Intermediário,3.89,94012,Ficção Científica,3694.6,2216.76,12.74,326,Hachette,290,Baixa
2012,Every Day,David Levithan,Inglês,Intermediário,3.99,121863,Ficção Científica,1149.12,689.472,3.99,327,Amazon,288,Média
1991,Xenocide,Orson Scott Card,Inglês,Intermediário,3.77,104467,Ficção Científica,1707.15,1024.29,5.99,329,Simon,285,Baixa
1596,The Merchant of Venice,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",Inglês,Intermediário,3.78,115621,Ficção Científica,427.5,0.0,1.5,329,Amazon,285,Baixa
1975,ShÅgun,James Clavell,Inglês,Excelente,4.37,104339,Ficção Científica,2071.56,1242.936,7.32,330,Hachette,283,Alta
2006,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,Inglês,Famoso,4.45,134249,Ficção Científica,1412.17,847.302,4.99,330,Simon,283,Alta
2015,A Court of Thorns and Roses,Sarah J. Maas,Inglês,Excelente,4.29,167848,Outro,3650.19,2190.114,12.99,331,Amazon,281,Alta
1989,Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert",Inglês,Excelente,4.21,105192,Ficção Científica,1097.25,658.35,3.99,335,Simon,275,Alta
2009,Smile,Raina Telgemeier,Inglês,Excelente,4.19,98628,Ficção Científica,2618.07,1570.842,9.59,336,HarperCollins,273,Alta
1950, Animal Farm & 1984,"George Orwell, Christopher Hitchens",Inglês,Excelente,4.26,116197,Ficção Científica,267.3,0.0,0.99,338,Amazon,270,Alta
1996,The Deep End of the Ocean,Jacquelyn Mitchard,Inglês,Intermediário,3.84,102733,Ficção Científica,267.3,0.0,0.99,338,Amazon,270,Baixa
2001,The Bonesetter's Daughter,Amy Tan,Inglês,Intermediário,3.98,99926,Outro,263.34,0.0,0.99,340,Amazon,266,Média
1999,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,Inglês,Intermediário,3.74,112733,Ficção Científica,997.5,0.0,3.75,340,Amazon,266,Baixa
2012,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,Inglês,Intermediário,3.75,110552,Ficção Científica,1719.85,1031.91,6.49,341,Hachette,265,Baixa
1979,Flowers in the Attic,V.C. Andrews,Inglês,Intermediário,3.79,109063,Infantil,1877.82,1126.692,7.14,342,Amazon,263,Baixa
2016,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",Inglês,Excelente,4.32,116771,Ficção Científica,1041.39,0.0,3.99,343,Amazon,261,Alta
1990,Maniac Magee,Jerry Spinelli,Inglês,Intermediário,3.86,99831,Ficção Científica,777.4,0.0,2.99,344,Amazon,260,Baixa
1999,Invisible Monsters,Chuck Palahniuk,Inglês,Intermediário,4.0,54937,Ficção Científica,771.42,462.852,2.99,345,Simon,258,Média
1601,"Twelfth Night; or, What You Will",William Shakespeare,Inglês,Intermediário,3.97,119607,Ficção Científica,1527.45,916.47,5.99,347,Penguin,255,Média
2000,Gathering Blue,Lois Lowry,Inglês,Intermediário,3.8,114917,Ficção Científica,997.5,0.0,3.99,350,Amazon,250,Baixa
1978,The Westing Game,Ellen Raskin,Inglês,Excelente,4.03,117108,Ficção Científica,997.5,598.5,3.99,350,Amazon,250,Média
2014,Red Rising,Pierce Brown,Inglês,Excelente,4.26,104939,Ficção Científica,246.51,147.906,0.99,351,Amazon,249,Alta
2008,The Way of Shadows,Brent Weeks,Inglês,Excelente,4.15,109236,Ficção Científica,744.51,446.706,2.99,351,Random,249,Alta
1988,The Bean Trees,Barbara Kingsolver,Inglês,Intermediário,3.94,105032,Infantil,1635.93,981.558,6.57,352,Amazon,249,Média
2013,Walking Disaster,Jamie McGuire,Inglês,Excelente,4.23,134022,Ficção Científica,3221.52,0.0,12.99,353,Amazon,248,Alta
2014,Words of Radiance,Brandon Sanderson,Inglês,Famoso,4.77,73572,Ficção Científica,741.52,444.912,2.99,354,HarperCollins,248,Alta
1988,Guess How Much I Love You,"Sam McBratney, Anita Jeram",Inglês,Excelente,4.36,104690,Ficção Científica,738.53,0.0,2.99,355,Amazon,247,Alta
2001,The Fiery Cross,Diana Gabaldon,Inglês,Excelente,4.26,103552,Ficção Científica,1141.14,684.684,4.62,356,Penguin,247,Alta
1978,Night Shift,"Stephen King, John D. MacDonald",Inglês,Intermediário,3.96,104248,Ficção Científica,244.53,146.718,0.99,356,Amazon,247,Média
1974,Jaws,Peter Benchley,Inglês,Intermediário,3.96,102574,Ficção Científica,1227.54,736.524,4.99,357,Simon,246,Média
2005,The History of Love,Nicole Krauss,Inglês,Intermediário,3.91,98379,Ficção Científica,977.55,0.0,3.99,359,Amazon,245,Baixa
1945,Pippi LÃ¥ngstrump,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Inglês,Excelente,4.11,123065,Ficção Científica,977.55,586.53,3.99,360,Amazon,245,Média
2006,L'Ã©lÃ©gance du hÃ©risson,"Muriel Barbery, Alison Anderson",Inglês,Intermediário,3.73,101669,Ficção Científica,1698.57,1019.142,6.99,363,Hachette,243,Baixa
2005,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",Inglês,Excelente,4.3,102923,Ficção Científica,726.57,435.942,2.99,364,Amazon,243,Alta
2010,Dead in the Family,Charlaine Harris,Inglês,Intermediário,3.88,127379,Ficção Científica,1494.45,896.67,6.15,364,Amazon,243,Baixa
1947,La peste,"Albert Camus, Stuart Gilbert",Inglês,Intermediário,3.97,95803,Ficção Científica,965.58,0.0,3.99,366,Amazon,242,Média
1999,The Reptile Room,"Lemony Snicket, Brett Helquist",Inglês,Intermediário,3.95,130213,Ficção Científica,1202.59,721.554,4.99,367,Simon,241,Média
2012,Brain on Fire,Susannah Cahalan,Inglês,Intermediário,4.0,92849,Ficção Científica,2566.65,1539.99,10.65,368,Hachette,241,Média
2007,Wicked Lovely ,Melissa Marr,Inglês,Intermediário,3.69,131034,Ficção Científica,1197.6,718.56,4.99,370,Simon,240,Baixa
1941,Curious George,H.A. Rey,Inglês,Excelente,4.13,105473,Ficção Científica,236.61,141.966,0.99,371,Amazon,239,Alta
1979,Die unendliche Geschichte,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",Inglês,Excelente,4.17,109110,Ficção Científica,953.61,0.0,3.99,372,Amazon,239,Alta
1998,A Beautiful Mind,Sylvia Nasar,Inglês,Excelente,4.12,98276,Ficção Científica,1544.62,926.772,6.49,373,Random,238,Média
1906,The Jungle,"Upton Sinclair, Earl Lee, Kathleen DeGrave",Inglês,Intermediário,3.72,97468,Ficção Científica,1419.63,851.778,5.99,375,Random,237,Baixa
2008,The Summoning,Kelley Armstrong,Inglês,Excelente,4.03,132285,Ficção Científica,471.63,0.0,1.99,376,Amazon,237,Média
1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Inglês,Excelente,4.04,102419,Outro,1182.63,709.578,4.99,376,Random,237,Média
1978,Storm Island,Ken Follett,Inglês,Excelente,4.16,93475,Ficção Científica,708.63,0.0,2.99,376,Amazon,237,Alta
2000,The Blind Assassin,Margaret Atwood,Inglês,Intermediário,3.95,98464,Outro,1885.64,1131.384,7.99,378,HarperCollins,236,Média
2014,Hollow City,Ransom Riggs,Inglês,Excelente,4.07,73149,Ficção Científica,1642.65,985.59,6.99,380,Penguin,235,Média
1999,House of Sand and Fog,Andre Dubus III,Inglês,Intermediário,3.83,55381,Ficção Científica,933.66,560.196,3.99,381,Amazon,234,Baixa
2014,The Girl with All the Gifts,M.R. Carey,Inglês,Intermediário,3.93,99729,Ficção Científica,463.67,278.202,1.99,383,Simon,233,Média
1930,As I Lay Dying,William Faulkner,Inglês,Intermediário,3.72,103547,Outro,461.68,277.008,1.99,385,HarperCollins,6264,Baixa
1955,Harold and the Purple Crayon,Crockett Johnson,Inglês,Excelente,4.24,107221,Ficção Científica,925.68,0.0,3.99,385,Amazon,6264,Alta
