Idade,Sexo,Raça,Estado civil,Educação,Emprego,Salario,Quantos livros você leu nos últimos 12 meses?,Leu algum livro físico nos últimos 12 meses?,Leu algum audiolivro nos últimos 12 meses?,Leu algum e-book nos últimos 12 meses?,"No último livro que você leu, você…",Você costuma ler notícias ou jornais diariamente?,Você costuma ler revistas?,Categoria de Idade,Frequência de Leitura
62,Feminino,Branca,Casado,Pós-graduação,Empregado (Meio Período),"$100,000 - $150,000",20,Não,Sim,Sim,Comprou o livro,Não,Não,Idoso,Alta
62,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Idoso,Alta
62,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$100,000 - $150,000",20,Sim,Não,Não,Pegou numa biblioteca,Sim,Não,Idoso,Alta
61,Feminino,Branca,Divorciado,Pós-graduação,Empregado (Meio Período),"$30,000 - $40,000",20,Sim,Sim,Sim,Comprou o livro,Sim,Não,Idoso,Alta
60,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",20,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Idoso,Alta
60,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$100,000 - $150,000",20,Sim,Não,Não,Comprou o livro,Sim,Não,Idoso,Alta
60,Feminino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"$100,000 - $150,000",20,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Sim,Idoso,Alta
60,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
60,Masculino,Branca,Divorciado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
60,Feminino,Branca,Casado,Ensino médio completo,Desempregado,Não Informado,20,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
59,Feminino,Branca,Casado,Ensino superior completo,Desempregado,"$100,000 - $150,000",20,Não,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
59,Feminino,Branca,Casado,Ensino superior completo,Desabilitado,"$40,000 - $50,000",20,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Adulto,Alta
58,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
57,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
56,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Adulto,Alta
56,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$50,000 - $75,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
56,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
55,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),Não Informado,20,Sim,Sim,Não,Pegou numa biblioteca,Não,Sim,Adulto,Alta
55,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",20,Não,Sim,Não,Comprou o livro,Não,Não,Adulto,Alta
55,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Integral),"Menos que $10,000",20,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
55,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
54,Masculino,Branca,Outros,Ensino médio completo,Empregado (Integral),"$40,000 - $50,000",20,Sim,Não,Não,Pegou de outra forma,Não,Não,Adulto,Alta
54,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
54,Masculino,Branca,Divorciado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
54,Masculino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"$30,000 - $40,000",20,Sim,Não,Sim,Pegou de outra forma,Sim,Não,Adulto,Alta
54,Masculino,Branca,Solteiro,Pós-graduação,Aposentado,"$40,000 - $50,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
53,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Meio Período),"$10,000 - $20,000",20,Não,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
53,Feminino,Branca,Casado,Ensino superior completo,Desempregado,Não Informado,20,Sim,Sim,Sim,Comprou o livro,Não,Sim,Adulto,Alta
52,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
52,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Integral),"$10,000 - $20,000",20,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
50,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$100,000 a $150,000",20,Sim,Sim,Sim,Comprou o livro,Não,Sim,Adulto,Alta
49,Feminino,Branca,Outros,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",20,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
48,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",20,Sim,Sim,Não,Comprou o livro,Sim,Sim,Adulto,Alta
48,Feminino,Branca,Outros,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
48,Feminino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"$50,000 - $75,000",20,Sim,Sim,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
48,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Pegou de outra forma,Não,Sim,Adulto,Alta
47,Feminino,Branca,Casado,Pós-graduação,Empregado (Meio Período),"$100,000 - $150,000",20,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
47,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
45,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",20,Sim,Sim,Sim,Comprou o livro,Não,Sim,Adulto,Alta
44,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
44,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
44,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",20,Sim,Sim,Sim,Pegou de outra forma,Sim,Sim,Adulto,Alta
44,Masculino,Branca,Casado,Ensino superior completo,Desempregado,"$50,000 - $75,000",20,Sim,Não,Não,Pegou de outra forma,Não,Não,Adulto,Alta
43,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
43,Feminino,Branca,Solteiro,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
42,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$40,000 - $50,000",20,Não,Sim,Não,Pegou numa biblioteca,Sim,Não,Adulto,Alta
42,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Sim,Não,Pegou numa biblioteca,Não,Não,Adulto,Alta
42,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,20,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
42,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",20,Sim,Não,Não,Pegou emprestado de alguém,Não,Não,Adulto,Alta
40,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
40,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",20,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
40,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Sim,Não,Comprou o livro,Sim,Sim,Adulto,Alta
39,Feminino,Branca,Casado,Pós-graduação,Desempregado,Não Informado,20,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
39,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
38,Feminino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"$30,000 - $40,000",20,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
38,Feminino,Branca,Outros,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",20,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
38,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Sim,Não,Comprou o livro,Sim,Não,Adulto,Alta
37,Feminino,Branca,Casado,Ensino superior completo,Desempregado,"$50,000 - $75,000",20,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
35,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Sim,Não,Pegou de outra forma,Sim,Não,Adulto,Alta
34,Masculino,Branca,Solteiro,Ensino médio completo,Estudante,"$50,000 - $75,000",20,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
34,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",20,Sim,Não,Sim,Pegou de outra forma,Sim,Não,Adulto,Alta
33,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$30,000 - $40,000",20,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Adulto,Alta
33,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
33,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",20,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
33,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
33,Feminino,Branca,Casado,Ensino médio completo,Desempregado,"$50,000 - $75,000",20,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
33,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
32,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Sim,Não,Pegou de outra forma,Sim,Sim,Adulto,Alta
32,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
31,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",20,Sim,Sim,Não,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
31,Feminino,Branca,Casado,Ensino médio completo,Outro,"$75,000 - $100,000",20,Não,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
30,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",20,Não,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
29,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,20,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
26,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$40,000 - $50,000",20,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
26,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
26,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",20,Sim,Não,Sim,Pegou de outra forma,Sim,Não,Adulto,Alta
26,Masculino,Branca,Outros,Ensino médio completo,Desempregado,"$30,000 - $40,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
25,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$50,000 - $75,000",20,Sim,Sim,Sim,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
24,Feminino,Branca,Casado,Ensino superior completo,Desempregado,"$40,000 - $50,000",20,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
24,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Adulto,Alta
24,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$40,000 - $50,000",20,Sim,Sim,Não,Comprou o livro,Não,Não,Adulto,Alta
24,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$100,000 a $150,000",20,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
23,Masculino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$10,000 - $20,000",20,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
23,Feminino,Branca,Solteiro,Ensino médio completo,Desempregado,"$100,000 - $150,000",20,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
23,Feminino,Branca,Solteiro,Pós-graduação,Estudante,"$40,000 - $50,000",20,Sim,Sim,Sim,Pegou emprestado de alguém,Não,Não,Adulto,Alta
22,Feminino,Branca,Solteiro,Pós-graduação,Empregado (Meio Período),"$75,000 - $100,000",20,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
21,Feminino,Branca,Solteiro,Ensino médio completo,Desempregado,"$100,000 a $150,000",20,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
21,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",20,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
20,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Meio Período),"$50,000 - $75,000",20,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
19,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Meio Período),"$30,000 - $40,000",20,Sim,Não,Sim,Pegou numa biblioteca,Não,Não,Adulto,Alta
18,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$10,000 - $20,000",20,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
17,Feminino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$10,000 - $20,000",20,Sim,Não,Não,Pegou numa biblioteca,Não,Não,Adolescente,Alta
17,Masculino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$30,000 - $40,000",20,Sim,Não,Sim,Pegou numa biblioteca,Não,Sim,Adolescente,Alta
17,Feminino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$100,000 - $150,000",20,Sim,Não,Não,Pegou emprestado de alguém,Não,Sim,Adolescente,Alta
16,Masculino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$100,000 a $150,000",20,Sim,Não,Não,Pegou numa biblioteca,Sim,Não,Adolescente,Alta
16,Feminino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$50,000 - $75,000",20,Sim,Não,Sim,Comprou o livro,Sim,Não Informado,Adolescente,Alta
16,Feminino,Branca,Solteiro,Ensino médio incompleto,Estudante,"$10,000 - $20,000",20,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Adolescente,Alta
16,Masculino,Branca,Solteiro,Ensino médio incompleto,Empregado (Meio Período),"$10,000 - $20,000",20,Sim,Não,Não,Comprou o livro,Não,Não,Adolescente,Alta
16,Feminino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$100,000 a $150,000",20,Sim,Não,Não,Comprou o livro,Não,Não,Adolescente,Alta
16,Masculino,Branca,Solteiro,Ensino médio incompleto,Empregado (Meio Período),"$10,000 - $20,000",20,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Não,Adolescente,Alta
16,Feminino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$50,000 - $75,000",20,Sim,Sim,Não,Comprou o livro,Não,Sim,Adolescente,Alta
16,Masculino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$100,000 a $150,000",20,Sim,Não,Sim,Pegou de outra forma,Sim,Sim,Adolescente,Alta
18,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Meio Período),"$100,000 a $150,000",19,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
76,Masculino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"$75,000 - $100,000",18,Sim,Sim,Sim,Comprou o livro,Sim,Não,Idoso,Alta
72,Feminino,Branca,Viúvo,Ensino superior completo,Aposentado,"$30,000 - $40,000",18,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
68,Feminino,Branca,Casado,Pós-graduação,Desempregado,"$100,000 - $150,000",18,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
64,Feminino,Branca,Casado,Pós-graduação,Aposentado,"$40,000 - $50,000",18,Sim,Sim,Sim,Pegou numa biblioteca,Não,Sim,Idoso,Alta
61,Feminino,Branca,Casado,Ensino superior completo,Empregado (Meio Período),"$100,000 - $150,000",18,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
53,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",18,Não,Sim,Sim,Comprou o livro,Sim,Não,Adulto,Alta
53,Feminino,Branca,Solteiro,Ensino técnico,Desabilitado,"Menos que $10,000",18,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
51,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$75,000 - $100,000",18,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
50,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",18,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
31,Feminino,Branca,Casado,Ensino médio completo,Desempregado,"Menos que $10,000",18,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
59,Masculino,Não Informado,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",17,Sim,Não,Não,Comprou o livro,Não Informado,Não Informado,Adulto,Alta
60,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",17,Sim,Sim,Não,Pegou emprestado de alguém,Não,Não,Idoso,Alta
43,Feminino,Branca,Viúvo,Ensino superior completo,Empregado (Integral),"$40,000 - $50,000",17,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
30,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",17,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
25,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$50,000 - $75,000",17,Sim,Não,Sim,Pegou de outra forma,Não,Sim,Adulto,Alta
17,Masculino,Branca,Solteiro,Ensino médio completo,Desempregado,"$10,000 - $20,000",17,Sim,Não,Sim,Pegou numa biblioteca,Não,Não,Adolescente,Alta
35,Masculino,Asiática,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",16,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
50,Masculino,Preta,Solteiro,Ensino médio completo,Desempregado,"Menos que $10,000",16,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
79,Feminino,Branca,Divorciado,Pós-graduação,Aposentado,"$50,000 - $75,000",16,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
79,Feminino,Branca,Viúvo,Ensino médio incompleto,Desempregado,"$30,000 - $40,000",16,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
78,Feminino,Branca,Viúvo,Ensino médio completo,Aposentado,"$10,000 - $20,000",16,Sim,Não,Não,Pegou de outra forma,Não,Sim,Idoso,Alta
76,Feminino,Branca,Casado,Pós-graduação,Aposentado,Não Informado,16,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
67,Masculino,Branca,Solteiro,Ensino médio completo,Aposentado,"$10,000 - $20,000",16,Sim,Não,Não,Comprou o livro,Sim,Não,Idoso,Alta
65,Masculino,Branca,Casado,Pós-graduação,Aposentado,"$100,000 - $150,000",16,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Idoso,Alta
40,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",16,Não,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
36,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,16,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
22,Masculino,Branca,Solteiro,Ensino médio incompleto,Empregado (Integral),"Menos que $10,000",16,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
60,Feminino,Não Informado,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",15,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Média
29,Feminino,Não Informado,Casado,Ensino superior completo,Empregado (Integral),"$50,000 - $75,000",15,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Adulto,Média
65,Feminino,Outro,Casado,Ensino médio incompleto,Empregado (Meio Período),Não Informado,15,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Média
37,Feminino,Outro,Casado,Pós-graduação,Desempregado,"$100,000 - $150,000",15,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Média
36,Feminino,Outro,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",15,Sim,Sim,Sim,Comprou o livro,Sim,Não,Adulto,Média
62,Masculino,Indígena,Divorciado,Ensino superior completo,Aposentado,"$40,000 - $50,000",15,Sim,Sim,Não,Pegou de outra forma,Não,Não,Idoso,Média
69,Masculino,Raça Mista,Casado,Ensino superior completo,Aposentado,"Menos que $10,000",15,Sim,Não,Não,Comprou o livro,Sim,Não,Idoso,Média
38,Feminino,Raça Mista,Casado,Ensino superior completo,Desempregado,"$100,000 - $150,000",15,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Média
57,Masculino,Asiática,Casado,Ensino superior completo,Desempregado,"$100,000 - $150,000",15,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Média
50,Masculino,Asiática,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",15,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Média
33,Feminino,Asiática,Solteiro,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",15,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Adulto,Média
30,Feminino,Asiática,Solteiro,Ensino médio completo,Empregado (Integral),"$100,000 a $150,000",15,Sim,Não,Não,Pegou de outra forma,Não,Sim,Adulto,Média
26,Feminino,Asiática,Casado,Ensino médio completo,Estudante,"$30,000 - $40,000",15,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Média
59,Feminino,Preta,Não Informado,Ensino superior completo,Aposentado,Não Informado,15,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Média
59,Masculino,Preta,Casado,Ensino médio completo,Aposentado,"$10,000 - $20,000",15,Sim,Não,Não,Pegou emprestado de alguém,Não,Sim,Adulto,Média
51,Feminino,Preta,Viúvo,Ensino médio completo,Empregado (Meio Período),"$10,000 - $20,000",15,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Média
40,Masculino,Preta,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",15,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Média
37,Masculino,Preta,Outros,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",15,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Média
32,Feminino,Preta,Solteiro,Ensino superior completo,Empregado (Meio Período),"$10,000 - $20,000",15,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Média
29,Feminino,Preta,Viúvo,Ensino médio completo,Desempregado,"$10,000 - $20,000",15,Sim,Não,Não,Pegou numa biblioteca,Não,Sim,Adulto,Média
24,Feminino,Preta,Solteiro,Ensino superior completo,Empregado (Integral),"Menos que $10,000",15,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Adulto,Média
81,Feminino,Branca,Viúvo,Ensino médio completo,Aposentado,"$10,000 - $20,000",15,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Média
81,Masculino,Branca,Casado,Ensino superior completo,Aposentado,"$10,000 - $20,000",15,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Idoso,Média
78,Masculino,Branca,Divorciado,Pós-graduação,Aposentado,"$30,000 - $40,000",15,Sim,Não,Não,Comprou o livro,Não,Sim,Idoso,Média
78,Masculino,Branca,Viúvo,Ensino médio completo,Autônomo,"$30,000 - $40,000",15,Sim,Sim,Sim,Pegou de outra forma,Sim,Sim,Idoso,Média
77,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Meio Período),"$30,000 - $40,000",15,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Idoso,Média
75,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$10,000 - $20,000",15,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Média
71,Masculino,Branca,Casado,Pós-graduação,Aposentado,"$100,000 - $150,000",15,Sim,Não,Não,Pegou de outra forma,Sim,Não,Idoso,Média
71,Masculino,Branca,Viúvo,Ensino médio incompleto,Aposentado,"Menos que $10,000",15,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Idoso,Média
70,Feminino,Branca,Casado,Pós-graduação,Aposentado,"$40,000 - $50,000",15,Sim,Não,Sim,Comprou o livro,Não,Sim,Idoso,Média
69,Feminino,Branca,Divorciado,Pós-graduação,Aposentado,"$30,000 - $40,000",15,Sim,Não,Não,Comprou o livro,Não,Não,Idoso,Média
68,Feminino,Branca,Casado,Ensino superior completo,Aposentado,"$50,000 - $75,000",15,Sim,Sim,Não,Pegou emprestado de alguém,Não,Sim,Idoso,Média
68,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Integral),Não Informado,15,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Idoso,Média
68,Feminino,Branca,Viúvo,Pós-graduação,Aposentado,"$100,000 - $150,000",15,Não,Não,Sim,Pegou numa biblioteca,Sim,Sim,Idoso,Média
67,Feminino,Branca,Casado,Pós-graduação,Aposentado,"$100,000 - $150,000",15,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Média
66,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Integral),Não Informado,15,Sim,Não,Não,Pegou emprestado de alguém,Não,Não,Idoso,Média
66,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$40,000 - $50,000",15,Sim,Não,Sim,Pegou de outra forma,Sim,Não,Idoso,Média
